,path,feat_path,name,emotion,strength,session
17,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/01-J-2-5.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/01-J-2-5.pt,01-J-2-5.aiff,happy,Fort,1
18,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/06-T-1-6.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/06-T-1-6.pt,06-T-1-6.aiff,sad,Faible,1
19,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/08-N-1.aiff,/home/wawa_/data/wav2vecbase/Neutre/08-N-1.pt,08-N-1.aiff,neutral,Fort,1
20,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/12-T-1-1.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/12-T-1-1.pt,12-T-1-1.aiff,sad,Faible,1
21,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/02-P-1-3.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/02-P-1-3.pt,02-P-1-3.aiff,fear,Faible,1
22,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/06-J-2-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/06-J-2-6.pt,06-J-2-6.aiff,happy,Fort,1
23,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/07-C-2-6.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/07-C-2-6.pt,07-C-2-6.aiff,angry,Fort,1
24,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/10-T-2-4.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/10-T-2-4.pt,10-T-2-4.aiff,sad,Fort,1
25,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/10-C-2-5.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/10-C-2-5.pt,10-C-2-5.aiff,angry,Fort,1
26,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/10-T-1-4.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/10-T-1-4.pt,10-T-1-4.aiff,sad,Faible,1
27,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/01-C-1-1.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/01-C-1-1.pt,01-C-1-1.aiff,angry,Faible,1
28,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/08-P-1-6.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/08-P-1-6.pt,08-P-1-6.aiff,fear,Faible,1
29,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/05-J-1-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/05-J-1-6.pt,05-J-1-6.aiff,happy,Faible,1
30,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/11-T-1-2.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/11-T-1-2.pt,11-T-1-2.aiff,sad,Faible,1
31,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/07-T-1-1.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/07-T-1-1.pt,07-T-1-1.aiff,sad,Faible,1
32,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/11-J-1-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/11-J-1-6.pt,11-J-1-6.aiff,happy,Faible,1
33,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/03-T-1-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/03-T-1-5.pt,03-T-1-5.aiff,sad,Faible,1
34,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/08-P-1-4.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/08-P-1-4.pt,08-P-1-4.aiff,fear,Faible,1
35,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/01-C-1-6.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/01-C-1-6.pt,01-C-1-6.aiff,angry,Faible,1
36,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/03-C-1-4.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/03-C-1-4.pt,03-C-1-4.aiff,angry,Faible,1
37,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/02-N-5.aiff,/home/wawa_/data/wav2vecbase/Neutre/02-N-5.pt,02-N-5.aiff,neutral,Fort,1
38,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/04-N-2.aiff,/home/wawa_/data/wav2vecbase/Neutre/04-N-2.pt,04-N-2.aiff,neutral,Fort,1
39,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/05-D-2-1.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/05-D-2-1.pt,05-D-2-1.aiff,disgust,Fort,1
40,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/02-T-1-4.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/02-T-1-4.pt,02-T-1-4.aiff,sad,Faible,1
41,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/05-T-2-3.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/05-T-2-3.pt,05-T-2-3.aiff,sad,Fort,1
42,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/08-S-1-3.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/08-S-1-3.pt,08-S-1-3.aiff,surprise,Faible,1
43,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/03-D-2-6.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/03-D-2-6.pt,03-D-2-6.aiff,disgust,Fort,1
44,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/12-P-2-4.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/12-P-2-4.pt,12-P-2-4.aiff,fear,Fort,1
45,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/05-J-2-3.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/05-J-2-3.pt,05-J-2-3.aiff,happy,Fort,1
46,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/03-P-1-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/03-P-1-2.pt,03-P-1-2.aiff,fear,Faible,1
47,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/12-T-1-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/12-T-1-5.pt,12-T-1-5.aiff,sad,Faible,1
48,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/08-D-1-3.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/08-D-1-3.pt,08-D-1-3.aiff,disgust,Faible,1
49,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/08-J-1-3.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/08-J-1-3.pt,08-J-1-3.aiff,happy,Faible,1
50,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/12-D-1-3.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/12-D-1-3.pt,12-D-1-3.aiff,disgust,Faible,1
51,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/12-D-1-4.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/12-D-1-4.pt,12-D-1-4.aiff,disgust,Faible,1
52,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/02-T-2-2.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/02-T-2-2.pt,02-T-2-2.aiff,sad,Fort,1
53,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/04-N-3.aiff,/home/wawa_/data/wav2vecbase/Neutre/04-N-3.pt,04-N-3.aiff,neutral,Fort,1
54,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/11-S-2-6.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/11-S-2-6.pt,11-S-2-6.aiff,surprise,Fort,1
55,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/12-P-1-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/12-P-1-2.pt,12-P-1-2.aiff,fear,Faible,1
56,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/06-C-1-4.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/06-C-1-4.pt,06-C-1-4.aiff,angry,Faible,1
57,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/10-N-3.aiff,/home/wawa_/data/wav2vecbase/Neutre/10-N-3.pt,10-N-3.aiff,neutral,Fort,1
58,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/01-J-1-4.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/01-J-1-4.pt,01-J-1-4.aiff,happy,Faible,1
59,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/02-C-2-2.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/02-C-2-2.pt,02-C-2-2.aiff,angry,Fort,1
60,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/11-S-2-4.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/11-S-2-4.pt,11-S-2-4.aiff,surprise,Fort,1
61,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/07-C-2-1.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/07-C-2-1.pt,07-C-2-1.aiff,angry,Fort,1
62,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/02-N-2.aiff,/home/wawa_/data/wav2vecbase/Neutre/02-N-2.pt,02-N-2.aiff,neutral,Fort,1
63,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/10-P-2-4.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/10-P-2-4.pt,10-P-2-4.aiff,fear,Fort,1
64,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/09-C-2-5.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/09-C-2-5.pt,09-C-2-5.aiff,angry,Fort,1
65,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/06-P-2-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/06-P-2-2.pt,06-P-2-2.aiff,fear,Fort,1
66,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/07-C-1-2.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/07-C-1-2.pt,07-C-1-2.aiff,angry,Faible,1
67,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/04-J-2-4.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/04-J-2-4.pt,04-J-2-4.aiff,happy,Fort,1
68,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/10-P-2-5.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/10-P-2-5.pt,10-P-2-5.aiff,fear,Fort,1
69,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/09-J-2-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/09-J-2-6.pt,09-J-2-6.aiff,happy,Fort,1
70,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/06-T-2-2.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/06-T-2-2.pt,06-T-2-2.aiff,sad,Fort,1
71,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/04-C-2-1.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/04-C-2-1.pt,04-C-2-1.aiff,angry,Fort,1
72,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/08-T-1-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/08-T-1-5.pt,08-T-1-5.aiff,sad,Faible,1
73,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/06-D-1-5.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/06-D-1-5.pt,06-D-1-5.aiff,disgust,Faible,1
74,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/03-P-1-5.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/03-P-1-5.pt,03-P-1-5.aiff,fear,Faible,1
75,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/07-C-1-6.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/07-C-1-6.pt,07-C-1-6.aiff,angry,Faible,1
76,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/03-P-1-1.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/03-P-1-1.pt,03-P-1-1.aiff,fear,Faible,1
77,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/06-D-2-3.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/06-D-2-3.pt,06-D-2-3.aiff,disgust,Fort,1
78,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/05-T-2-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/05-T-2-5.pt,05-T-2-5.aiff,sad,Fort,1
79,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/07-N-6.aiff,/home/wawa_/data/wav2vecbase/Neutre/07-N-6.pt,07-N-6.aiff,neutral,Fort,1
80,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/05-P-2-6.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/05-P-2-6.pt,05-P-2-6.aiff,fear,Fort,1
81,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/10-C-1-4.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/10-C-1-4.pt,10-C-1-4.aiff,angry,Faible,1
82,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/02-C-1-5.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/02-C-1-5.pt,02-C-1-5.aiff,angry,Faible,1
83,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/05-D-1-4.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/05-D-1-4.pt,05-D-1-4.aiff,disgust,Faible,1
84,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/06-C-2-5.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/06-C-2-5.pt,06-C-2-5.aiff,angry,Fort,1
85,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/08-J-2-1.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/08-J-2-1.pt,08-J-2-1.aiff,happy,Fort,1
86,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/04-J-1-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/04-J-1-6.pt,04-J-1-6.aiff,happy,Faible,1
87,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/09-C-2-4.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/09-C-2-4.pt,09-C-2-4.aiff,angry,Fort,1
88,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/05-C-1-2.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/05-C-1-2.pt,05-C-1-2.aiff,angry,Faible,1
89,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/12-J-2-5.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/12-J-2-5.pt,12-J-2-5.aiff,happy,Fort,1
90,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/07-T-2-3.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/07-T-2-3.pt,07-T-2-3.aiff,sad,Fort,1
91,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/03-S-1-5.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/03-S-1-5.pt,03-S-1-5.aiff,surprise,Faible,1
92,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/04-J-1-1.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/04-J-1-1.pt,04-J-1-1.aiff,happy,Faible,1
93,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/10-S-2-6.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/10-S-2-6.pt,10-S-2-6.aiff,surprise,Fort,1
94,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/11-P-1-6.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/11-P-1-6.pt,11-P-1-6.aiff,fear,Faible,1
95,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/03-P-2-4.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/03-P-2-4.pt,03-P-2-4.aiff,fear,Fort,1
96,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/12-S-2-6.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/12-S-2-6.pt,12-S-2-6.aiff,surprise,Fort,1
97,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/09-P-1-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/09-P-1-2.pt,09-P-1-2.aiff,fear,Faible,1
98,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/10-N-5.aiff,/home/wawa_/data/wav2vecbase/Neutre/10-N-5.pt,10-N-5.aiff,neutral,Fort,1
99,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/07-J-1-4.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/07-J-1-4.pt,07-J-1-4.aiff,happy,Faible,1
100,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/09-J-1-4.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/09-J-1-4.pt,09-J-1-4.aiff,happy,Faible,1
101,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/02-C-2-5.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/02-C-2-5.pt,02-C-2-5.aiff,angry,Fort,1
102,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/07-C-1-1.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/07-C-1-1.pt,07-C-1-1.aiff,angry,Faible,1
103,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/11-D-1-1.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/11-D-1-1.pt,11-D-1-1.aiff,disgust,Faible,1
104,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/02-T-2-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/02-T-2-5.pt,02-T-2-5.aiff,sad,Fort,1
105,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/03-N-2.aiff,/home/wawa_/data/wav2vecbase/Neutre/03-N-2.pt,03-N-2.aiff,neutral,Fort,1
106,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/10-J-1-4.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/10-J-1-4.pt,10-J-1-4.aiff,happy,Faible,1
107,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/09-T-2-6.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/09-T-2-6.pt,09-T-2-6.aiff,sad,Fort,1
108,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/10-N-6.aiff,/home/wawa_/data/wav2vecbase/Neutre/10-N-6.pt,10-N-6.aiff,neutral,Fort,1
109,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/12-P-2-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/12-P-2-2.pt,12-P-2-2.aiff,fear,Fort,1
110,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/09-T-2-2.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/09-T-2-2.pt,09-T-2-2.aiff,sad,Fort,1
111,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/02-J-2-6.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/02-J-2-6.pt,02-J-2-6.aiff,happy,Fort,1
112,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/06-N-4.aiff,/home/wawa_/data/wav2vecbase/Neutre/06-N-4.pt,06-N-4.aiff,neutral,Fort,1
113,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/06-J-1-5.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/06-J-1-5.pt,06-J-1-5.aiff,happy,Faible,1
114,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/02-J-1-5.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/02-J-1-5.pt,02-J-1-5.aiff,happy,Faible,1
115,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/05-N-2.aiff,/home/wawa_/data/wav2vecbase/Neutre/05-N-2.pt,05-N-2.aiff,neutral,Fort,1
116,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/03-D-2-4.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/03-D-2-4.pt,03-D-2-4.aiff,disgust,Fort,1
117,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Fort/01-J-2-2.aiff,/home/wawa_/data/wav2vecbase/Joie/Fort/01-J-2-2.pt,01-J-2-2.aiff,happy,Fort,1
118,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/04-S-1-5.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/04-S-1-5.pt,04-S-1-5.aiff,surprise,Faible,1
119,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/02-T-2-1.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/02-T-2-1.pt,02-T-2-1.aiff,sad,Fort,1
120,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/07-S-1-2.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/07-S-1-2.pt,07-S-1-2.aiff,surprise,Faible,1
121,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/04-S-1-3.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/04-S-1-3.pt,04-S-1-3.aiff,surprise,Faible,1
122,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/10-S-2-2.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/10-S-2-2.pt,10-S-2-2.aiff,surprise,Fort,1
123,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/05-D-2-5.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/05-D-2-5.pt,05-D-2-5.aiff,disgust,Fort,1
124,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/09-S-1-1.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/09-S-1-1.pt,09-S-1-1.aiff,surprise,Faible,1
125,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/10-J-1-2.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/10-J-1-2.pt,10-J-1-2.aiff,happy,Faible,1
126,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/09-T-1-2.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/09-T-1-2.pt,09-T-1-2.aiff,sad,Faible,1
127,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/12-C-2-3.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/12-C-2-3.pt,12-C-2-3.aiff,angry,Fort,1
128,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/11-T-2-4.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/11-T-2-4.pt,11-T-2-4.aiff,sad,Fort,1
129,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/05-S-2-4.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/05-S-2-4.pt,05-S-2-4.aiff,surprise,Fort,1
130,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/08-N-6.aiff,/home/wawa_/data/wav2vecbase/Neutre/08-N-6.pt,08-N-6.aiff,neutral,Fort,1
131,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/01-S-2-1.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/01-S-2-1.pt,01-S-2-1.aiff,surprise,Fort,1
132,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Faible/10-D-1-5.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Faible/10-D-1-5.pt,10-D-1-5.aiff,disgust,Faible,1
